2016,CAPECCHI Eros,Movistar Team,Astana Pro Team,30,96
2016,OLIVEIRA Nelson,Lampre - Merida,Movistar Team,419,304
2016,TROFIMOV Yuri,Team Katusha,Tinkoff,373,47
2016,GEOGHEGAN HART Tao,Team Sky,Axeon Hagens Berman,130,193
2016,REICHENBACH Sébastien,IAM Cycling,FDJ,208,631
2016,RUTKIEWICZ Marek,CCC Sprandi Polkowice,Wibatech Fuji,62,86
2016,PETIT Adrien,Cofidis, Solutions Crédits,54,393
2016,CALMEJANE Lilian,,Direct Energie,47,310
2016,VAITKUS Tomas,Rietumu - Delfin,NASR-DUBAI,60,106
2016,MEYER Cameron,Orica GreenEDGE,Team Dimension Data,223,75
2016,MARTÍNEZ Daniel Felipe,Team Colombia,Wilier - Southeast,65,81
2016,BATTAGLIN Enrico,Bardiani - CSF Pro Team,Team LottoNL-Jumbo,163,140
2016,SKUJIŅŠ Toms,Hincapie Racing Team,Cannondale Pro Cycling Team,170,119
2016,OOMEN Sam,Rabobank Development Team,Team Giant - Alpecin,148,294
2016,GROßSCHARTNER Felix,Team Felbermayr - Simplon Wels,CCC Sprandi Polkowice,60,125
2016,GROßSCHARTNER Felix,Tinkoff - Saxo,CCC Sprandi Polkowice,60,125
2016,ZAUGG Oliver,Tinkoff - Saxo,IAM Cycling,17,46
2016,POLITT Nils,Team Stölting,Team Katusha,70,181
2016,CICCONE Giulio,,Bardiani - CSF,19,184
2016,CAMPENAERTS Victor,Topsport Vlaanderen - Baloise,Team LottoNL-Jumbo,341,125
2016,MEURISSE Xandro,An Post - Chain Reaction,Crelan - Vastgoedservice,66,345
2016,WALLAYS Jelle,Topsport Vlaanderen - Baloise,Lotto Soudal,384,197
2016,KONOVALOVAS Ignatas,Team Marseille 13 KTM,FDJ,315,95
2016,BLYTHE Adam,Orica GreenEDGE,Tinkoff,88,154
2016,KUMP Marko,Adria Mobil,Lampre - Merida,531,165
2016,CLAEYS Dimitri,Verandas Willems Cycling Team,Wanty - Groupe Gobert,421,395
2016,TXURRUKA Amets,Caja Rural - Seguros RGA,Orica GreenEDGE,390,54
2016,SANTAROMITA Ivan,Orica GreenEDGE,Skydive Dubai Pro Cycling Team - Al Ahli Club,167,55
2017,REBELLIN Davide,CCC Sprandi Polkowice,Kuwait - Cartucho.es,300,126
2017,SAGAN Peter,Tinkoff,BORA - hansgrohe,3315,2186
2017,GILBERT Philippe,BMC Racing Team,Quick-Step Floors,629,1504
2017,NIBALI Vincenzo,Astana Pro Team,Bahrain Merida Pro Cycling Team,1178,1739
2017,CONTADOR Alberto,Tinkoff,Trek - Segafredo,1595,1637
2017,DEGENKOLB John,Team Giant - Alpecin,Trek - Segafredo,585,1012
2017,MARTIN Tony,Etixx - Quick Step,Team Katusha Alpecin,683,506
2017,MATTHEWS Michael,ORICA-BikeExchange,Team Sunweb,1156,1734
2017,BENNATI Daniele,Tinkoff,Movistar Team,484,217
2017,VISCONTI Giovanni,Movistar Team,Bahrain Merida Pro Cycling Team,774,641
2017,MANCEBO Francisco,Skydive Dubai Pro Cycling Team - Al Ahli Club,Hangar 15 Bicycles,276,21
2017,KREUZIGER Roman,Tinkoff,ORICA-Scott,602,283
2017,MAJKA Rafał,Tinkoff,BORA - hansgrohe,1005,996
2017,PELLIZOTTI Franco,Androni Giocattoli - Sidermec,Bahrain Merida Pro Cycling Team,108,168
2017,IZAGIRRE Ion,Movistar Team,Bahrain Merida Pro Cycling Team,1325,839
2017,KELDERMAN Wilco,Team LottoNL-Jumbo,Team Sunweb,772,1000
2017,COLBRELLI Sonny,Bardiani - CSF,Bahrain Merida Pro Cycling Team,1183,1104
2017,SEVILLA Óscar,EPM-UNE-Área Metropolitana,Medellin - Inder,29,363
2017,ROCHE Nicolas,Team Sky,BMC Racing Team,485,657
2017,BRESCHEL Matti,Cannondale-Drapac Pro Cycling Team,Astana Pro Team,102,112
2017,VAN AERT Wout,Crelan - Vastgoedservice,Vérandas Willems-Crelan,254,456
2017,GASPAROTTO Enrico,Wanty - Groupe Gobert,Bahrain Merida Pro Cycling Team,557,91
2017,MARCATO Marco,Wanty - Groupe Gobert,UAE Team Emirates,352,148
2017,ELMIGER Martin,IAM Cycling,BMC Racing Team,208,72
2017,HAUSSLER Heinrich,IAM Cycling,Bahrain Merida Pro Cycling Team,329,60
2017,VANMARCKE Sep,Team LottoNL-Jumbo,Cannondale-Drapac Pro Cycling Team,749,561
2017,BRAJKOVIČ Janez,UnitedHealthcare Pro Cycling Team,Bahrain Merida Pro Cycling Team,112,75
2017,NAESEN Oliver,IAM Cycling,AG2R La Mondiale,692,936
2017,SCHUMACHER Stefan,Christina Jewelry Pro Cycling,Kuwait - Cartucho.es,80,35
2017,VAN DEN BROECK Jurgen,Team Katusha,Team LottoNL-Jumbo,118,27
2017,BOOM Lars,Astana Pro Team,Team LottoNL-Jumbo,188,431
2017,ACKERMANN Pascal,Rad-Net Rose Team,BORA - hansgrohe,200,128
2017,DEVOLDER Stijn,Trek - Segafredo,Vérandas Willems-Crelan,25,58
2017,SWIFT Ben,Team Sky,UAE Team Emirates,621,396
2017,FRANK Mathias,IAM Cycling,AG2R La Mondiale,322,360
2017,BILBAO Pello,Caja Rural - Seguros RGA,Astana Pro Team,421,262
2017,BOLE Grega,Nippo - Vini Fantini,Bahrain Merida Pro Cycling Team,320,117
2017,BOŽIČ Borut,Cofidis, Solutions Crédits,61,80
2017,DEVENYNS Dries,IAM Cycling,Quick-Step Floors,644,214
2017,SIUTSOU Kanstantsin,Team Dimension Data,Bahrain Merida Pro Cycling Team,308,75
2017,HIVERT Jonathan,Fortuneo - Vital Concept,Direct Energie,151,360
2017,SCHACHMANN Maximilian,Klein Constantia,Quick-Step Floors,98,150
2017,FINETTO Mauro,Unieuro Wilier,Delko Marseille Provence KTM,367,397
2017,SØRENSEN Chris Anker,Fortuneo - Vital Concept,Riwal Platform Cycling Team,121,33
2017,PLANCKAERT Baptiste,Wallonie - Bruxelles,Team Katusha Alpecin,1017,290
2017,LAGUTIN Sergey,Team Katusha,Gazprom-RusVelo,206,39
2017,MAS Enric,Klein Constantia,Quick-Step Floors,89,310
